case_id,category,overall_agreement_pct,case_fleiss_kappa,melody_decision,melody_agreement,melody_n,harmony_decision,harmony_agreement,harmony_n,rhythm_decision,rhythm_agreement,rhythm_n,voice_decision,voice_agreement,voice_n,timbre_decision,timbre_agreement,timbre_n
c_234,HV,100.0,0.1803,Tie A/B,,5,Tie A/B,,5,B,100.0,5,B,100.0,5,B,100.0,5
c_235,HV,70.0,0.1935,B,50.0,4,B,50.0,4,B,75.0,4,A,100.0,4,B,75.0,4
c_236,HV,80.0,0.3662,A,100.0,3,A,66.7,3,Neither,66.7,3,B,100.0,3,Neither,66.7,3
c_237,HV,86.7,0.3182,B,66.7,3,B,66.7,3,A,100.0,3,A,100.0,3,A,100.0,3
c_238,HV,80.0,0.005,A,100.0,4,A,100.0,4,A,75.0,4,A,75.0,4,A,50.0,4
c_239,HV,80.0,-0.0945,B,100.0,4,B,100.0,4,B,75.0,4,B,75.0,4,B,50.0,4
c_240,HV,90.0,0.6255,Neither,100.0,4,B,50.0,4,B,100.0,4,B,100.0,4,B,100.0,4
c_241,HV,70.0,0.2708,B,50.0,4,B,100.0,4,A,50.0,4,A,100.0,4,A,50.0,4
c_242,HV,93.3,0.7581,B,100.0,3,B,100.0,3,A,66.7,3,A,100.0,3,A,100.0,3
c_243,HV,86.7,0.3182,A,66.7,3,A,66.7,3,B,100.0,3,B,100.0,3,B,100.0,3
c_244,HV,80.0,0.351,Neither,75.0,4,Neither,75.0,4,B,100.0,4,B,50.0,4,B,100.0,4
c_245,HV,100.0,,A,100.0,3,A,100.0,3,A,100.0,3,A,100.0,3,A,100.0,3
c_246,HV,66.7,-0.1029,B,66.7,3,B,66.7,3,B,66.7,3,A,66.7,3,B,66.7,3
c_247,HV,86.7,-0.1111,A,100.0,3,A,66.7,3,A,66.7,3,A,100.0,3,A,100.0,3
c_248,HV,66.7,-0.5,B,66.7,3,B,66.7,3,B,66.7,3,B,66.7,3,B,66.7,3
c_249,HV,85.0,0.4719,Neither,50.0,4,Neither,75.0,4,A,100.0,4,A,100.0,4,A,100.0,4
c_250,HV,88.0,0.053,A,60.0,5,A,80.0,5,A,100.0,5,A,100.0,5,A,100.0,5
c_251,AS,62.5,-0.0959,A,50.0,4,A,75.0,4,A,75.0,4,NULL,,0,Neither,50.0,4
c_252,AS,83.3,-0.2,Neither,66.7,3,Neither,66.7,3,Neither,100.0,3,NULL,,0,Neither,100.0,3
c_253,AS,75.0,-0.125,A,66.7,3,Neither,66.7,3,A,100.0,3,NULL,,0,A,66.7,3
c_254,AS,75.0,-0.125,A,66.7,3,A,66.7,3,A,100.0,3,NULL,,0,Neither,66.7,3
c_255,AS,83.3,-0.2,Neither,100.0,3,Neither,100.0,3,Neither,66.7,3,NULL,,0,Neither,66.7,3
c_256,AS,60.0,-0.1364,Neither,60.0,5,Tie A/B,,5,A,60.0,5,NULL,,0,Tie A/B,,5
c_257,AS,50.0,-0.1922,A,50.0,4,Neither,50.0,4,A,50.0,4,NULL,,0,B,50.0,4
c_258,AS,75.0,-0.2414,Neither,100.0,3,Neither,66.7,3,Neither,66.7,3,NULL,,0,Neither,66.7,3
c_259,AS,91.7,0.625,Neither,100.0,3,Neither,66.7,3,A,100.0,3,NULL,,0,Neither,100.0,3
c_260,AS,62.5,0.1111,Neither,50.0,4,Neither,50.0,4,B,50.0,4,NULL,,0,A,100.0,4
c_261,AS,68.8,-0.0492,Neither,100.0,4,Neither,50.0,4,A,50.0,4,NULL,,0,Neither,75.0,4
c_262,AS,83.3,0.1111,Neither,66.7,3,A,66.7,3,Neither,100.0,3,NULL,,0,Neither,100.0,3
c_263,AS,91.7,-0.0909,Neither,100.0,3,Neither,66.7,3,Neither,100.0,3,NULL,,0,Neither,100.0,3
c_264,AS,75.0,-0.125,Neither,66.7,3,Neither,66.7,3,B,66.7,3,NULL,,0,Neither,100.0,3
c_265,AS,91.7,-0.0909,Neither,100.0,3,Neither,100.0,3,Neither,100.0,3,NULL,,0,Neither,66.7,3
c_266,AS,91.7,-0.0909,Neither,100.0,3,Neither,66.7,3,Neither,100.0,3,NULL,,0,Neither,100.0,3
c_267,AS,83.3,0.3333,Neither,66.7,3,Neither,100.0,3,Neither,100.0,3,NULL,,0,A,66.7,3
c_268,AS,83.3,0.1111,A,66.7,3,Neither,66.7,3,Neither,100.0,3,NULL,,0,Neither,100.0,3
c_269,AS,75.0,-0.0286,Neither,66.7,3,Neither,100.0,3,A,66.7,3,NULL,,0,A,66.7,3
c_270,AS,83.3,0.4545,Neither,66.7,3,A,100.0,3,A,100.0,3,NULL,,0,Neither,66.7,3
c_271,AM,60.0,0.0181,A,50.0,4,B,50.0,4,Neither,50.0,4,B,75.0,4,B,75.0,4
c_272,AM,80.0,0.2857,A,100.0,3,A,66.7,3,Neither,100.0,3,Neither,66.7,3,A,66.7,3
c_273,AM,65.0,-0.1009,Neither,75.0,4,A,50.0,4,Neither,75.0,4,A,75.0,4,A,50.0,4
c_274,AM,50.0,-0.203,B,50.0,4,B,50.0,4,Neither,50.0,4,A,50.0,4,A,50.0,4
c_275,AM,86.7,0.5238,Neither,100.0,3,Neither,100.0,3,A,66.7,3,A,100.0,3,A,66.7,3
c_276,AM,85.0,0.3249,B,75.0,4,A,50.0,4,A,100.0,4,A,100.0,4,A,100.0,4
c_277,AM,60.0,-0.0742,Neither,80.0,5,Neither,60.0,5,A,40.0,5,Neither,60.0,5,Tie A/B,,5
c_278,AM,100.0,1.0,Neither,100.0,3,B,100.0,3,B,100.0,3,NULL,,0,Neither,100.0,3
c_279,AM,80.0,0.2742,A,66.7,3,Neither,100.0,3,Neither,100.0,3,B,66.7,3,B,66.7,3
c_280,AM,65.0,-0.1221,Neither,75.0,4,Neither,50.0,4,Neither,100.0,4,A,50.0,4,Neither,50.0,4
c_281,AM,80.0,0.3382,Neither,66.7,3,Neither,100.0,3,B,66.7,3,A,100.0,3,Neither,66.7,3
c_282,AM,80.0,0.2029,Neither,75.0,4,B,50.0,4,B,100.0,4,B,75.0,4,B,100.0,4
c_283,AM,80.0,0.2857,Neither,100.0,3,A,66.7,3,A,100.0,3,Neither,66.7,3,A,66.7,3
c_284,AM,80.0,0.375,Neither,100.0,3,B,66.7,3,B,66.7,3,A,100.0,3,Neither,66.7,3
c_285,AM,73.4,0.0909,A,66.7,3,B,66.7,3,B,66.7,3,A,100.0,3,A,66.7,3
c_286,AM,80.0,0.0426,Neither,66.7,3,B,66.7,3,B,100.0,3,B,100.0,3,B,66.7,3
c_287,AM,93.3,0.4231,B,100.0,3,B,100.0,3,B,100.0,3,A,66.7,3,B,100.0,3
c_288,AM,73.4,-0.2,A,66.7,3,B,66.7,3,B,66.7,3,B,100.0,3,B,66.7,3
c_289,AM,93.3,0.4231,A,66.7,3,B,100.0,3,B,100.0,3,B,100.0,3,B,100.0,3
c_290,AM,73.4,-0.2,A,100.0,3,B,66.7,3,A,66.7,3,A,66.7,3,A,66.7,3
c_291,AM,73.4,-0.0714,B,100.0,3,B,66.7,3,B,66.7,3,B,66.7,3,A,66.7,3
c_292,AM,80.0,0.301,B,100.0,5,B,100.0,5,B,60.0,5,A,80.0,5,A,60.0,5
c_293,AM,80.0,-0.0417,B,100.0,4,B,100.0,4,B,75.0,4,B,50.0,4,B,75.0,4
c_294,AM,93.3,0.7,A,100.0,3,A,100.0,3,A,100.0,3,B,66.7,3,B,100.0,3
c_295,AM,86.7,0.3182,B,100.0,3,B,100.0,3,B,100.0,3,A,66.7,3,A,66.7,3
c_296,AM,80.0,0.1964,B,100.0,3,B,100.0,3,Neither,66.7,3,A,66.7,3,B,66.7,3
c_297,AM,80.0,0.288,A,100.0,4,A,100.0,4,Neither,75.0,4,A,50.0,4,Neither,75.0,4
c_298,AM,93.3,0.7321,B,100.0,3,B,100.0,3,A,66.7,3,A,100.0,3,A,100.0,3
c_299,AM,91.7,0.5862,A,100.0,3,A,100.0,3,A,100.0,3,NULL,,0,B,66.7,3
c_300,AM,83.3,0.25,B,100.0,3,B,100.0,3,A,66.7,3,NULL,,0,A,66.7,3
c_301,HP,91.7,-0.0909,B,66.7,3,B,100.0,3,B,100.0,3,NULL,,0,B,100.0,3
